token	frequency	source	devanagari_candidate_1	devanagari_candidate_2	devanagari_candidate_3	devanagari_candidate_4
hai	3661	override_list	है	हाई	हाइ	हई
to	1892	override_list	तो	टो	टीओ	टू
ke	1604	override_list	के	केई	कीई	क
nahi	1592	pilot_pool	नही	नाही	नहि	नाहि
bhi	1588	pilot_pool	भी	भि	बही	भीं
ki	1571	override_list	की	कि	काई	कीई
se	1328	override_list	से	एसई	सी	स
ka	1244	override_list	का	केए	क	क्‌
ho	1178	override_list	हो	एचओ	हों	हू
ko	1149	override_list	को	कों	केओ	कू
bhai	1023	override_list	भाई	भाइ	भई	भै
aur	1023	override_list	और	आउर	अउर	और्‌
ye	1013	pilot_pool	ये	यी	य	ए
kar	927	override_list	कर	कार	कर्‌	कड़
kya	910	override_list	क्या	क्य	कया	कय
mein	633	pilot_pool	में	मेइन	मेन	मैन
ek	593	override_list	एक	ईके	ईक	इक
toh	546	override_list	तोह	टोह	तोह्‌	टॉह
ab	521	override_list	अब	एबी	अब्‌	आब
aaj	506	pilot_pool	आज	अज	आज्‌	एएज
koi	468	override_list	कोई	कोइ	कॉइ	कोईं
kuch	457	pilot_pool	कुच	कुछ	कूच	कच
raha	444	pilot_pool	रहा	रह	राह	रह्‌
na	443	override_list	ना	ने	न	न्‌
aap	433	override_list	आप	अप	अप्‌	एएप
ne	427	override_list	ने	नी	नि	न
liye	424	pilot_pool	लिए	लिये	लीये	लीए
tha	408	override_list	था	ठा	थ	ठ
tu	356	override_list	टू	तू	तु	तूं
mujhe	354	pilot_pool	मुझे	मूझे	मुझें	मझे
baat	340	pilot_pool	बात	बाट	बैट	बॉट
sab	338	pilot_pool	सब	साब	सैब	सब्‌
rahe	330	pilot_pool	रहे	राहे	रेह	रह
hain	318	pilot_pool	हैं	हैन	हेन	हाइन
gaya	301	pilot_pool	गया	गाया	ग्या	गय
jo	294	pilot_pool	जो	जेओ	ज़ो	जू
hota	266	pilot_pool	होता	होटा	होत	होट
kiya	258	pilot_pool	किया	कीया	कीय	किय
someuser	238	pilot_pool	सोम्यूजर	सम्यूजर	सोम्युजर	सोम्यूसर
abhi	231	pilot_pool	अभी	अभि	आभी	आभि
diya	228	pilot_pool	दिया	डिया	दिय	दीय
ya	219	pilot_pool	या	य	यां	ये
yaar	210	pilot_pool	यार	यार्‌	य़ार	यर
bahut	209	pilot_pool	बहुत	बहूत	बहत	बहुट
kabhi	207	pilot_pool	कभी	काभी	कभि	काभि
gaye	206	pilot_pool	गये	गाये	गाए	गेय
guddu	200	pilot_pool	गुड्डू	गुद्दू	गुडु	गुडू
kyu	192	pilot_pool	क्यू	क्यु	कयू	कयु
woh	192	pilot_pool	वोह	वो	वॉह	वुह
rahi	186	pilot_pool	रही	राही	रहि	राहि
tak	186	pilot_pool	तक	टक	टाक	टैक
kaam	183	pilot_pool	काम	कॉम	कां	काँ
ghar	182	pilot_pool	घर	घार	घर्‌	गहर
yeh	182	pilot_pool	येह	यह	याह	एह
wo	182	pilot_pool	वो	वीओ	वॉ	वू
karne	172	pilot_pool	करने	कारने	कर्णे	कर्ने
hu	172	pilot_pool	हू	हु	हूं	हूँ
desh	167	pilot_pool	देश	डेश	देष	देस
aise	167	pilot_pool	एआईएसई	ऐसे	आइसे	एआइएसई
pehle	165	pilot_pool	पहले	पेहले	पहेले	पहलें
