token	freq	cumulative_pct_at_this_point
nahi	1592	2.181
bhi	1588	4.356
ye	1013	5.744
mein	633	6.611
aaj	506	7.304
kuch	457	7.93
raha	444	8.538
rt	440	9.141
liye	424	9.722
and	384	10.248
mujhe	354	10.732
of	352	11.215
baat	340	11.68
sab	338	12.143
rahe	330	12.595
hain	318	13.031
gaya	301	13.443
jo	294	13.846
for	290	14.243
hota	266	14.608
kiya	258	14.961
you	245	15.297
someuser	238	15.623
gst	235	15.945
modi	234	16.265
abhi	231	16.582
diya	228	16.894
ya	219	17.194
yaar	210	17.481
bahut	209	17.768
kabhi	207	18.051
gaye	206	18.333
with	202	18.61
guddu	200	18.884
kyu	192	19.147
woh	192	19.41
rahi	186	19.665
tak	186	19.92
kaam	183	20.17
ghar	182	20.42
yeh	182	20.669
wo	182	20.918
this	174	21.157
karne	172	21.392
hu	172	21.628
desh	167	21.857
aise	167	22.085
my	165	22.311
pehle	165	22.537
apne	164	22.762
kal	164	22.987
dekh	163	23.21
baar	162	23.432
baad	161	23.652
meri	161	23.873
pata	160	24.092
saath	158	24.309
sirf	155	24.521
dil	154	24.732
hoga	154	24.943
nhi	154	25.154
karte	153	25.363
salman	152	25.572
karo	150	25.777
accha	148	25.98
alllahdin	148	26.182
naam	146	26.382
chahiye	142	26.577
kaha	142	26.772
meetuunnglee	139	26.962
phir	139	27.152
aisa	137	27.34
har	136	27.526
mera	134	27.71
yaad	133	27.892
hoti	131	28.071
sahi	128	28.247
karna	125	28.418
mahashivratri	124	28.588
that	124	28.758
kisi	121	28.923
tujhe	121	29.089
pyar	119	29.252
bol	118	29.414
haan	116	29.573
aaya	115	29.73
kaise	115	29.888
bahot	114	30.044
tere	114	30.2
zyada	114	30.356
kam	112	30.51
laga	112	30.663
lagta	111	30.815
wala	110	30.966
liya	109	31.115
dhoni	108	31.263
lo	107	31.41
iss	106	31.555
chal	105	31.699
kab	105	31.843
mai	105	31.986
kahan	104	32.129
kejriwal	104	32.271
lol	104	32.414
itna	102	32.553
khud	102	32.693
tumhare	102	32.833
hote	100	32.97
apni	99	33.105
narendramodi	99	33.241
indvspak	98	33.375
from	97	33.508
shaadi	97	33.641
gayi	95	33.771
karta	91	33.896
raat	89	34.018
theek	88	34.138
wali	87	34.257
