token	frequency
priyancabajaj	19
beingsalmankhan	18
ipl	18
nitishkachehradiveshsehra	18
pmoindia	18
biharkajaichandshatrughan	17
haramiparindey	16
incindia	16
kajubadamchor	16
oinkoo	16
srbachchan	16
babafirki	15
bloodykamina	15
delhismog	15
gabbbarsingh	15
ledtvn	15
suresh	14
indvsban	13
mildlyclassic	13
thevacuumhead	13
bhopal	12
laggayivaat	12
lokarlounfollow	12
mohitparmarr	12
msgmissionhumanity	12
ojasism	12
shahrcasm	12
timesnow	12
indvpak	11
pointkyahai	11
shraddhakapoor	11
sritikadhar	11
bdutt	10
exsecular	10
unsubtledesi	10
vyomnaut	10
failedcmnitish	9
jdu	9
joydas	9
kahaanify	9
kshisodia	9
landacquisitionbill	9
sharanyashettyy	9
shoaib	9
thedillimirror	9
anupampkher	8
bitcoin	8
catwomaniya	8
faadutweets	8
fuljhadii	8
haddhaiyaar	8
indvsl	8
maukamauka	8
paybackindia	8
rts	8
tweepshikha	8
yonitishsotantrik	8
